id_reporte,fecha_reporte,organizacion,estado,municipio,nombre_sitio,latitud,longitud
844568470,2026-07-31,Médicos Sin Fronteras,La Guaira,Vargas,Mare Abajo / Playa Verde,10.602533,-66.924655
849309944,2026-07-31,PP Foundation,Distrito Capital,Libertador,"Campamento Temporal ""UEN Francisco Pimentel""",10.496406,-66.917698
838163768,2026-08-01,Accion Solidaria,La Guaira,Vargas,Chancha de Corapal,10.616368,-66.856262
831436576,2026-08-03,UNICEF,La Guaira,Vargas,Campo de golf Los Corales,,
831450273,2026-08-03,UNICEF,La Guaira,Vargas,Campamento Camurichico,,
831453022,2026-08-03,UNICEF,La Guaira,Vargas,Campamento Simón Bolivar,,
831455330,2026-08-03,UNICEF,La Guaira,Vargas,"Campo de Futbol, Los Corales",,
831458843,2026-08-03,UNICEF,La Guaira,Vargas,Campo de Golf Caraballeda,,
831459788,2026-08-03,UNICEF,La Guaira,Vargas,Club Tanaguarena,,
831460710,2026-08-03,UNICEF,La Guaira,Vargas,Fundación Sol de Vargas,,
831462112,2026-08-03,UNICEF,La Guaira,Vargas,Hospital de Campaña Simón Bolivar de Caraballeda,,
831463699,2026-08-03,UNICEF,La Guaira,Vargas,Los Corales,,
831464596,2026-08-03,UNICEF,La Guaira,Vargas,Bajada El Indio,,
831465517,2026-08-03,UNICEF,La Guaira,Vargas,Caribe,,
831466464,2026-08-03,UNICEF,La Guaira,Vargas,"Centro 012, Farmatodo cerca de Macuto",,
831467231,2026-08-03,UNICEF,La Guaira,Vargas,La Lomas,,
831468145,2026-08-03,UNICEF,La Guaira,Vargas,Tanaguarena,,
831468943,2026-08-03,UNICEF,La Guaira,Vargas,Coral Beach,,
831470328,2026-08-03,UNICEF,La Guaira,Vargas,"Los Corales, Caribe",,
831471580,2026-08-03,UNICEF,La Guaira,Vargas,OPP25,,
831472318,2026-08-03,UNICEF,La Guaira,Vargas,OPP 33,,
831472776,2026-08-03,UNICEF,La Guaira,Vargas,OPP 27,,
831473830,2026-08-03,UNICEF,La Guaira,Vargas,Plaza Las Palmeras,,
831476536,2026-08-03,UNICEF,La Guaira,Vargas,Hospital de Campaña Simón Bolivar de Caraballeda,,
831477716,2026-08-03,UNICEF,La Guaira,Vargas,Alberto Ravel,,
831478459,2026-08-03,UNICEF,La Guaira,Vargas,Campamento Plaza Ali El cantor,,
831480867,2026-08-03,UNICEF,La Guaira,Vargas,Polideportivo José María Vargas,,
831481844,2026-08-03,UNICEF,La Guaira,Vargas,Unidad Educativa 10 De Marzo,,
831485357,2026-08-03,UNICEF,La Guaira,Vargas,Amb Carlos Soublette,,
831486619,2026-08-03,UNICEF,La Guaira,Vargas,ASIC 10 de marzo 510,,
831487453,2026-08-03,UNICEF,La Guaira,Vargas,CDI 10 de Marzo,,
831488250,2026-08-03,UNICEF,La Guaira,Vargas,Pedrera,,
831489085,2026-08-03,UNICEF,La Guaira,Vargas,La Gabarra,,
831490249,2026-08-03,UNICEF,La Guaira,Vargas,Hospital Rafael Medina Jimenez,,
831491213,2026-08-03,UNICEF,La Guaira,Vargas,Campamento Fe y Esperanza,,
831492609,2026-08-03,UNICEF,La Guaira,Vargas,Canes Escuela De Grumetes,,
831493757,2026-08-03,UNICEF,La Guaira,Vargas,Estadio César Nieves,,
831494972,2026-08-03,UNICEF,La Guaira,Vargas,Universidad Marítima del Caribe,,
831495745,2026-08-03,UNICEF,La Guaira,Vargas,PDVSA,,
831496781,2026-08-03,UNICEF,La Guaira,Vargas,Amb La jungla,,
831498731,2026-08-03,UNICEF,La Guaira,Vargas,Consultorio Popular Jose Antonio Paez,,
831499980,2026-08-03,UNICEF,La Guaira,Vargas,Chaparral,,
831500804,2026-08-03,UNICEF,La Guaira,Vargas,Residencias Mirabal Sector 3,,
831501262,2026-08-03,UNICEF,La Guaira,Vargas,Residencias Mirabal Sector 5,,
831501913,2026-08-03,UNICEF,La Guaira,Vargas,Bloque 2  La Páez,,
831502911,2026-08-03,UNICEF,La Guaira,Vargas,Complejo Educativo República de Panamá,,
831506748,2026-08-03,UNICEF,La Guaira,Vargas,Clinica Popular Alfredo Machado,,
831507854,2026-08-03,UNICEF,La Guaira,Vargas,Hospital Jose Maria Vargas (IVSS),,
831508656,2026-08-03,UNICEF,La Guaira,Vargas,Sector Los Perdomos,,
831509315,2026-08-03,UNICEF,La Guaira,Vargas,Dirección Regional de Salud Estado La Guaira,,
831510094,2026-08-03,UNICEF,La Guaira,Vargas,Cayaurima,,
831510647,2026-08-03,UNICEF,La Guaira,Vargas,Escuela Juan Aranaga,,
831511258,2026-08-03,UNICEF,La Guaira,Vargas,Mare Abajo,,
831511905,2026-08-03,UNICEF,La Guaira,Vargas,Teatro Pedro Elías Gutiérrez,,
831512573,2026-08-03,UNICEF,La Guaira,Vargas,CMP San Antonio de las Flores parte alta,,
831513255,2026-08-03,UNICEF,La Guaira,Vargas,Cerro Jesús Parte Media,,
831513946,2026-08-03,UNICEF,La Guaira,Vargas,Ciudad Vacacional Los Caracas,,
831514417,2026-08-03,UNICEF,La Guaira,Vargas,Estadio Playa Grande,,
831514863,2026-08-03,UNICEF,La Guaira,Vargas,Farmatodo Playa Grande,,
831515293,2026-08-03,UNICEF,La Guaira,Vargas,Cancha La Paz,,
831517415,2026-08-03,UNICEF,La Guaira,Vargas,ASIC Jacinto Convit 506 (Carayaca),,
831518046,2026-08-03,UNICEF,La Guaira,Vargas,ASIC La Atlantida 507 (Balneario),,
831518490,2026-08-03,UNICEF,La Guaira,Vargas,ASIC General Jose Antonio Paez 508,,
