id_establecimiento,tipo_apoyo
828530530,Acompañamiento técnico
828530530,Donación de medicamentos
830429287,Acompañamiento técnico
830429287,Donación de medicamentos
830429287,Dotación de insumos
830431658,Acompañamiento técnico
830431658,Donación de medicamentos
830431658,Dotación de insumos
830438891,Acompañamiento técnico
830438891,Donación de medicamentos
830438891,Dotación de insumos
831493130,Acompañamiento técnico
831497548,Acompañamiento técnico
831526310,Acompañamiento técnico
831526310,Donación de medicamentos
831526310,Dotación de insumos
831529108,Acompañamiento técnico
831529108,Donación de medicamentos
831529108,Dotación de insumos
831531162,Acompañamiento técnico
831531162,Donación de medicamentos
831531162,Dotación de insumos
831532613,Acompañamiento técnico
831532613,Donación de medicamentos
831532613,Dotación de insumos
831534009,Acompañamiento técnico
831534009,Donación de medicamentos
831534009,Dotación de insumos
831534824,Acompañamiento técnico
831534824,Donación de medicamentos
831534824,Dotación de insumos
831535731,Acompañamiento técnico
831535731,Donación de medicamentos
831535731,Dotación de insumos
831537079,Acompañamiento técnico
831537079,Donación de medicamentos
831537079,Dotación de insumos
831537642,Acompañamiento técnico
831537642,Donación de medicamentos
831537642,Dotación de insumos
831538862,"Acciones en agua, saneamiento e higiene"
831538862,Donación de medicamentos
831538862,Dotación de insumos
831541401,"Acciones en agua, saneamiento e higiene"
831541401,Acompañamiento técnico
831541401,Donación de medicamentos
831541401,Dotación de insumos
831543439,"Acciones en agua, saneamiento e higiene"
831543439,Acompañamiento técnico
831543439,Donación de medicamentos
831543439,Dotación de insumos
831544300,"Acciones en agua, saneamiento e higiene"
831544300,Donación de medicamentos
831544300,Dotación de insumos
831545518,"Acciones en agua, saneamiento e higiene"
831545518,Acompañamiento técnico
831545518,Adecuaciones e infraestructura
831545518,Donación de medicamentos
831545518,Dotación de insumos
831546470,"Acciones en agua, saneamiento e higiene"
831546470,Acompañamiento técnico
831546470,Donación de medicamentos
831546470,Dotación de insumos
831547529,"Acciones en agua, saneamiento e higiene"
831547529,Acompañamiento técnico
831547529,Donación de medicamentos
831547529,Dotación de insumos
831548067,Acompañamiento técnico
831548067,Donación de medicamentos
831548943,"Acciones en agua, saneamiento e higiene"
831548943,Acompañamiento técnico
831548943,Adecuaciones e infraestructura
831548943,Donación de medicamentos
831548943,Dotación de insumos
831549591,"Acciones en agua, saneamiento e higiene"
831549591,Acompañamiento técnico
831549591,Adecuaciones e infraestructura
831549591,Donación de medicamentos
831549591,Dotación de insumos
831550260,Acompañamiento técnico
831550925,"Acciones en agua, saneamiento e higiene"
831550925,Acompañamiento técnico
831550925,Donación de medicamentos
831550925,Dotación de insumos
831551732,"Acciones en agua, saneamiento e higiene"
831551732,Acompañamiento técnico
831551732,Adecuaciones e infraestructura
831551732,Donación de medicamentos
831551732,Dotación de insumos
831552200,"Acciones en agua, saneamiento e higiene"
831552200,Acompañamiento técnico
831552200,Adecuaciones e infraestructura
831552200,Donación de medicamentos
831552200,Dotación de insumos
832376615,Acompañamiento técnico
832412422,Acompañamiento técnico
832416699,Acompañamiento técnico
832421466,Acompañamiento técnico
832425478,Acompañamiento técnico
836687034,"Acciones en agua, saneamiento e higiene"
836687034,Acompañamiento técnico
836687034,Adecuaciones e infraestructura
836687034,Donación de medicamentos
836687034,Dotación de insumos
836705442,"Acciones en agua, saneamiento e higiene"
836705442,Acompañamiento técnico
836705442,Adecuaciones e infraestructura
836705442,Donación de medicamentos
836705442,Dotación de insumos
836712151,"Acciones en agua, saneamiento e higiene"
836712151,Acompañamiento técnico
836712151,Adecuaciones e infraestructura
836712151,Donación de medicamentos
836712151,Dotación de insumos
836768015,"Acciones en agua, saneamiento e higiene"
836768015,Acompañamiento técnico
836768015,Adecuaciones e infraestructura
836768015,Donación de medicamentos
836768015,Dotación de insumos
836797241,"Acciones en agua, saneamiento e higiene"
836797241,Acompañamiento técnico
836797241,Adecuaciones e infraestructura
836797241,Donación de medicamentos
836797241,Dotación de insumos
840295528,"Acciones en agua, saneamiento e higiene"
840295528,Acompañamiento técnico
840295528,Adecuaciones e infraestructura
840295528,Donación de medicamentos
840295528,Dotación de insumos
840297258,"Acciones en agua, saneamiento e higiene"
840297258,Acompañamiento técnico
840297258,Adecuaciones e infraestructura
840297258,Donación de medicamentos
840297258,Dotación de insumos
840307120,"Acciones en agua, saneamiento e higiene"
840307120,Acompañamiento técnico
840307120,Adecuaciones e infraestructura
840307120,Donación de medicamentos
840307120,Dotación de insumos
844133313,"Acciones en agua, saneamiento e higiene"
844133313,Acompañamiento técnico
844133313,Dotación de insumos
844179941,Acompañamiento técnico
844179941,Adecuaciones e infraestructura
844179941,Dotación de insumos
844200239,Acompañamiento técnico
844200239,Adecuaciones e infraestructura
844200239,Dotación de insumos
844234277,Acompañamiento técnico
844234277,Adecuaciones e infraestructura
844234277,Dotación de insumos
844251562,Acompañamiento técnico
844251562,Adecuaciones e infraestructura
844251562,Dotación de insumos
844264157,Acompañamiento técnico
844264157,Adecuaciones e infraestructura
844264157,Dotación de insumos
844270513,Acompañamiento técnico
844270513,Adecuaciones e infraestructura
844270513,Dotación de insumos
844279283,Acompañamiento técnico
844279283,Adecuaciones e infraestructura
844279283,Dotación de insumos
844285102,Acompañamiento técnico
844285102,Adecuaciones e infraestructura
844285102,Dotación de insumos
844295134,Acompañamiento técnico
844295134,Adecuaciones e infraestructura
844295134,Dotación de insumos
844304760,Acompañamiento técnico
844304760,Adecuaciones e infraestructura
844304760,Dotación de insumos
844391255,Acompañamiento técnico
844391255,Adecuaciones e infraestructura
844391255,Dotación de insumos
844532154,Donación de medicamentos
844596537,Donación de medicamentos
844629070,"Acciones en agua, saneamiento e higiene"
844629070,Donación de medicamentos
