id_establecimiento,area_servicio
828530530,Atención materna y obstétrica
828530530,Consulta externa
830429287,Consulta externa
830429287,Farmacia y dispensación de medicamentos
830429287,Salud mental y apoyo psicosocial
830429287,Salud sexual y reproductiva
830431658,Atención materna y obstétrica
830431658,Farmacia y dispensación de medicamentos
830431658,Salud mental y apoyo psicosocial
830431658,Salud sexual y reproductiva
830438891,Consulta externa
830438891,Farmacia y dispensación de medicamentos
830438891,Salud mental y apoyo psicosocial
830438891,Salud sexual y reproductiva
831493130,Consulta externa
831493130,Farmacia y dispensación de medicamentos
831493130,Pediatría
831497548,Consulta externa
831497548,Pediatría
831526310,Atención materna y obstétrica
831526310,Consulta externa
831526310,Pediatría
831526310,Salud mental y apoyo psicosocial
831526310,Vacunación
831529108,Atención materna y obstétrica
831529108,Consulta externa
831529108,Pediatría
831529108,Salud mental y apoyo psicosocial
831529108,Vacunación
831531162,Atención materna y obstétrica
831531162,Consulta externa
831531162,Pediatría
831531162,Salud mental y apoyo psicosocial
831531162,Vacunación
831532613,Atención materna y obstétrica
831532613,Consulta externa
831532613,Pediatría
831532613,Salud mental y apoyo psicosocial
831532613,Vacunación
831534009,Atención materna y obstétrica
831534009,Consulta externa
831534009,Pediatría
831534009,Salud mental y apoyo psicosocial
831534009,Vacunación
831534824,Atención materna y obstétrica
831534824,Consulta externa
831534824,Pediatría
831534824,Salud mental y apoyo psicosocial
831534824,Vacunación
831535731,Consulta externa
831535731,Pediatría
831535731,Salud mental y apoyo psicosocial
831535731,Vacunación
831537079,Atención materna y obstétrica
831537079,Consulta externa
831537079,Pediatría
831537079,Salud mental y apoyo psicosocial
831537079,Vacunación
831537642,Atención materna y obstétrica
831537642,Consulta externa
831537642,Pediatría
831537642,Salud mental y apoyo psicosocial
831537642,Vacunación
831538862,Atención materna y obstétrica
831538862,Consulta externa
831538862,Pediatría
831538862,Vacunación
831541401,Pediatría
831541401,Vacunación
831543439,Atención materna y obstétrica
831543439,Consulta externa
831543439,Pediatría
831543439,Salud mental y apoyo psicosocial
831543439,Vacunación
831544300,Salud mental y apoyo psicosocial
831544300,Vacunación
831545518,"Agua, saneamiento e higiene"
831545518,Atención materna y obstétrica
831545518,Consulta externa
831545518,Emergencias
831545518,Pediatría
831545518,Rehabilitación
831545518,Salud mental y apoyo psicosocial
831545518,Vacunación
831546470,Atención materna y obstétrica
831546470,Consulta externa
831546470,Emergencias
831546470,Hospitalización
831546470,Pediatría
831547529,Atención materna y obstétrica
831547529,Atención neonatal
831547529,Consulta externa
831547529,Emergencias
831547529,Hospitalización
831547529,Pediatría
831547529,Vacunación
831548067,Vacunación
831548943,"Agua, saneamiento e higiene"
831548943,Atención materna y obstétrica
831548943,Consulta externa
831548943,Emergencias
831548943,Hospitalización
831548943,Pediatría
831548943,Vacunación
831549591,Atención materna y obstétrica
831549591,Atención neonatal
831549591,Consulta externa
831549591,Emergencias
831549591,Hospitalización
831549591,Pediatría
831549591,Rehabilitación
831549591,Vacunación
831550260,Vacunación
831550925,Atención materna y obstétrica
831550925,Pediatría
831550925,Vacunación
831551732,Atención materna y obstétrica
831551732,Pediatría
831551732,Rehabilitación
831551732,Vacunación
831552200,Atención materna y obstétrica
831552200,Consulta externa
831552200,Emergencias
831552200,Hospitalización
831552200,Pediatría
831552200,Rehabilitación
831552200,Vacunación
832376615,Atención materna y obstétrica
832376615,Salud sexual y reproductiva
832412422,Atención materna y obstétrica
832412422,Salud sexual y reproductiva
832416699,Atención materna y obstétrica
832416699,Salud sexual y reproductiva
832421466,Atención materna y obstétrica
832421466,Salud mental y apoyo psicosocial
832425478,Atención materna y obstétrica
832425478,Salud sexual y reproductiva
836687034,"Agua, saneamiento e higiene"
836687034,Consulta externa
836687034,Gestión y manejo de residuos hospitalarios
836687034,Vacunación
836705442,"Agua, saneamiento e higiene"
836705442,Consulta externa
836705442,Gestión y manejo de residuos hospitalarios
836705442,Vacunación
836712151,"Agua, saneamiento e higiene"
836712151,Consulta externa
836712151,Farmacia y dispensación de medicamentos
836712151,Gestión y manejo de residuos hospitalarios
836768015,"Agua, saneamiento e higiene"
836768015,Consulta externa
836768015,Farmacia y dispensación de medicamentos
836768015,Vacunación
836797241,"Agua, saneamiento e higiene"
836797241,"Otro: Adecuacion del triaje, adecuación del espacio del almacén"
840295528,"Agua, saneamiento e higiene"
840295528,Atención materna y obstétrica
840295528,Consulta externa
840295528,Emergencias
840295528,Farmacia y dispensación de medicamentos
840295528,Gestión y manejo de residuos hospitalarios
840295528,Medicina interna
840295528,Pediatría
840295528,Vacunación
840297258,"Agua, saneamiento e higiene"
840297258,Atención materna y obstétrica
840297258,Consulta externa
840297258,Emergencias
840297258,Farmacia y dispensación de medicamentos
840297258,Gestión y manejo de residuos hospitalarios
840297258,Medicina interna
840297258,Odontología
840297258,Pediatría
840297258,Vacunación
840307120,"Agua, saneamiento e higiene"
840307120,Atención materna y obstétrica
840307120,Consulta externa
